Designator,Footprint,Quantity,Value,LCSC Part #
"A1, B1, Cdown1, Cleft1, Cright1, Cup1, Down1, L1, LS1, Left1, Lup1, MS1, MX1, MY1, Rbutton1, Right1, Start1, Up1, X1, Y2, Z1",Kailh_socket_MX_optional,21,KEYSW,
"C1, C17, C4",C_0805_2012Metric,3,10u,
"C10, C8",C_0402_1005Metric,2,1u,
"C11, C12, C13, C14, C15, C16, C5, C6, C7, C9",C_0402_1005Metric,10,100n,
"C2, C3",C_0402_1005Metric,2,27p,
D1,D_SOD-123,1,MBR0520,
D2,LED_0402_1005Metric,1,LED,
J1,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"R1, R5, R6",C_0402_1005Metric,3,1k,
R2,C_0402_1005Metric,1,DNF,
"R3, R4",C_0402_1005Metric,2,27,
R7,C_0402_1005Metric,1,5.6k,
R8,C_0402_1005Metric,1,10k,
U1,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U3,RP2040-QFN-56,1,RP2040,
Y1,Crystal_SMD_HC49-US,1,ABLS-12.000MHZ-B4-T,
