Designator,Mid X,Mid Y,Rotation,Layer
A1,154.49,-95.54,-90.0,top
B1,154.49,-37.14,-90.0,top
C1,72.57,-67.286766,90.0,top
C10,89.585,-71.224266,180.0,top
C11,93.07,-81.709266,-90.0,top
C12,97.27,-68.739266,90.0,top
C13,97.27,-81.709266,-90.0,top
C14,102.555,-74.843266,0.0,top
C15,92.07,-68.739266,90.0,top
C16,90.67,-68.739266,90.0,top
C17,74.07,-90.109266,90.0,top
C2,105.07,-78.709266,-90.0,top
C3,105.07,-75.739266,90.0,top
C4,85.07,-66.199266,90.0,top
C5,78.9,-79.039266,-90.0,top
C6,88.585,-76.224266,180.0,top
C7,102.555,-73.724266,0.0,top
C8,89.585,-72.224266,180.0,top
C9,88.585,-75.224266,180.0,top
Cdown1,138.12,-113.07,-90.0,top
Cleft1,131.13,-90.14,-90.0,top
Cright1,170.84,-77.99,-90.0,top
Cup1,147.45,-72.57,-90.0,top
D1,74.896,-72.176266,180.0,top
D2,103.09,-28.25,0.0,top
Down1,28.16,-26.55,-90.0,top
J1,68.58,-75.6,-90.0,top
J2,72.61,-84.114266,-90.0,top
J3,94.305,-11.07,90.0,top
J4,70.07,-96.814266,90.0,top
J5,69.816,-53.634266,90.0,top
L1,-22.77,-31.89,-90.0,top
LS1,198.38,-1.43,-90.0,top
Left1,2.22,-24.72,-90.0,top
Lup1,33.96,-3.28,-90.0,top
MS1,223.37,-8.59,-90.0,top
MX1,51.9,-95.535,-90.0,top
MY1,68.27,-113.08,-90.0,top
R1,78.385,-84.224266,180.0,top
R2,78.385,-85.724266,0.0,top
R3,89.585,-74.224266,0.0,top
R4,89.585,-73.224266,0.0,top
R5,103.185,-76.524266,0.0,top
R6,100.59,-28.25,0.0,top
R7,83.975,-44.485,180.0,top
R8,86.515,-44.485,180.0,top
Rbutton1,148.7,-13.84,-90.0,top
Right1,51.9,-37.11,-90.0,top
Start1,103.17,-37.13,-90.0,top
U1,78.92,-67.224266,0.0,top
U2,83.345,-82.174266,90.0,top
U3,96.07,-75.224266,90.0,top
Up1,229.17,-31.87,-90.0,top
X1,178.25,-26.55,-90.0,top
Y1,109.186,-77.383266,90.0,top
Y2,172.42,-3.26,-90.0,top
Z1,204.18,-24.76,-90.0,top
